Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun
ghostly,NN,0.0,9.0,general,N,N,N,N,C1,C1,1,True,False
ghostwriter,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
ghoul,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
ghoulish,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False
ghrelin,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False
giant,B1,3000.0,0.0,NN,N,N,N,N,A3,A2,2,True,False
giantess,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
giardiasis,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gibber,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gibberellin,NN,0.0,9.0,science,N,N,N,N,NN,NN,0,True,False
gibberish,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
gibbet,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
gibbon,NN,0.0,6.0,science,N,Y,N,N,C3,NN,0,True,False
gibbous,NN,0.0,9.0,science,N,N,N,N,NN,NN,0,False,False
gibe,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
giblet,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False
giddily,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False
giddiness,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False
giddy,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False
gift,A2,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True,False
gifted,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,1,False,False
giftware,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
gig,C1,5000.0,0.0,NN,N,N,N,N,B1,B1,0,True,False
gigabit,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gigabyte,NN,0.0,9.0,math,N,N,N,N,C3,C2,0,True,False
gigabytes,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,False,False
gigantic,NN,0.0,0.0,NN,N,N,N,N,B2,B2,1,False,False
gigawatt,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False
giggle,NN,0.0,0.0,NN,N,N,N,N,B1,B1,1,True,False
gigolo,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False
gilbert,NN,0.0,0.0,NN,N,Y,N,N,C3,C2,0,True,False
gild,NN,0.0,0.0,NN,N,N,N,N,B3,C2,1,True,False
gill,NN,0.0,2.0,science,N,Y,N,N,C1,C1,0,True,False
gillie,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gilt,NN,0.0,0.0,NN,N,N,N,N,B3,C2,1,True,False
gimlet,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gimme,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False
gimmick,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False
gimmickry,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True,False
gimmicky,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,False,False
gin,NN,0.0,0.0,NN,N,N,N,N,B2,B2,1,True,False
ginger,NN,0.0,0.0,NN,N,N,N,N,B2,B2,1,True,False
gingerbread,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False
gingerly,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,False,False
gingery,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,False,False
gingham,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
ginkgo,NN,0.0,6.0,science,N,Y,N,N,C3,C2,0,True,False
ginseng,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True,False
gipsy,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False
giraffe,NN,0.0,1.0,science,N,N,N,N,C1,C1,1,True,False
gird,NN,0.0,0.0,NN,N,N,N,N,C2,C2,1,True,False
girder,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False
girdle,NN,0.0,0.0,NN,N,N,N,N,C2,C1,1,True,False
girl,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False
girlfriend,A1,3000.0,0.0,NN,N,N,N,N,A4,A4,2,True,False
girlhood,NN,0.0,0.0,NN,N,N,N,N,C4,NN,1,True,False
girlish,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,False,False
girlishly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
girly,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
giro,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
girth,NN,0.0,0.0,NN,N,N,N,N,C1,NN,0,True,False
gist,NN,0.0,0.0,NN,N,N,N,N,C1,B3,1,True,False
git,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
giuseppe,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,False,True
give,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False
giveaway,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False
giver,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False
gizmo,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False
gizzard,NN,0.0,6.0,science,N,N,N,N,NN,NN,0,True,False
glacial,NN,0.0,6.0,science,N,Y,N,N,C1,C1,0,True,True
glaciate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
glaciation,NN,0.0,9.0,science,N,N,N,N,C4,NN,0,True,False
glacier,NN,0.0,2.0,science,N,Y,N,N,B2,B1,1,True,False
glaciologist,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,True,False
glad,B1,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True,False
gladden,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
glade,NN,0.0,0.0,NN,N,N,N,N,C1,NN,0,True,False
gladiator,NN,0.0,9.0,social_studies,N,N,N,N,C1,C2,0,True,False
gladiolus,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True,False
gladly,NN,0.0,0.0,NN,N,N,N,N,B3,B3,2,False,False
gladness,NN,0.0,0.0,NN,N,N,N,N,C3,NN,1,True,False
glam,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
