Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
acetone,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
acetyl,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
acetylate,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
acetylation,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
acetylcholine,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
acetylene,NN,0,9,science,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
ache,NN,0,0,NN,N,N,N,N,B1,B1,1.0,True,False,3.0,B2,medical
achievable,NN,0,0,NN,N,N,N,N,C1,B3,0.0,False,False,5.0,NN,
achieve,A2,3000,5,general,Y,N,N,N,A1,A2,2.0,True,False,1.0,B1,
achievement,B1,3000,6,general,N,N,N,N,A2,A3,2.0,True,False,2.0,B1,
achiever,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
achy,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,6.0,NN,
acid,B2,5000,4,science,N,Y,N,Y,A3,A3,2.0,True,False,3.0,B2,
acidic,NN,0,5,science,N,Y,N,N,A4,A4,0.0,False,False,3.0,NN,
acidification,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,NN,
acidify,NN,0,0,NN,N,N,N,N,C3,C3,0.0,True,False,6.0,NN,
acidity,NN,0,6,science,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
