Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
savagery,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
plotter,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
plucky,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
signatory,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
plughole,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
unharmed,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
signer,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
savagely,NN,0,0,NN,N,N,N,N,C1,C2,0.0,False,False,12,NN,NN
signifier,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
unguarded,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
sauté,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
pedantic,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
saunter,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
signalman,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
unseasonably,NN,0,0,NN,N,N,N,N,C3,C1,0.0,False,False,12,NN,NN
unholy,NN,0,0,NN,N,N,N,N,C2,C1,0.0,False,False,12,NN,NN
siesta,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
pelvis,NN,0,9,science,N,N,N,N,C1,C1,0.0,True,False,12,NN,science
pelvic,NN,0,9,science,N,N,N,N,C1,C2,0.0,False,False,12,NN,science
sax,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
sawdust,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
sideshow,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
sidestep,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
pelmet,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
unseat,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
unicorn,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
pelican,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
unhook,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
pejorative,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
unicellular,NN,0,5,science,N,N,N,N,NN,NN,0.0,False,False,12,NN,science
plonk,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
plonker,NN,0,0,NN,N,N,N,N,C4,C2,0.0,True,False,12,NN,NN
unhurt,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
sidle,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
sierra,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
plop,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
savory,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
unseeded,NN,0,0,NN,N,N,N,N,C3,C1,0.0,False,False,12,NN,NN
peeler,NN,0,0,NN,N,N,N,N,C4,C2,0.0,True,False,12,NN,NN
sidetrack,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
unimpressive,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
unequivocal,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
unsubsidized,NN,0,0,NN,N,N,N,N,C4,C2,0.0,False,False,12,NN,NN
slog,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
slop,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
undeterred,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
sloppiness,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
slosh,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
particulate,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
particularity,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
untimed,NN,0,0,NN,N,N,N,N,C4,C2,0.0,False,False,12,NN,NN
widower,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
slouch,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
saddlery,NN,0,0,NN,N,N,N,N,C5,C2,0.0,True,False,12,NN,NN
slough,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
undetected,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
sacrosanct,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
participatory,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
sacrilegious,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
slowness,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
sacrilege,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
sludge,NN,0,9,science,N,N,N,N,C1,C1,0.0,True,False,12,NN,science
sacrificial,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
undetectable,NN,0,0,NN,N,N,N,N,C2,C1,0.0,False,False,12,NN,NN
sacramental,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
undetermined,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
wiggly,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
sadism,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
slob,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
undifferentiated,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
wickedness,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
slime,NN,0,6,science,N,N,N,N,C1,C1,0.0,True,False,12,NN,science
passerby,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
untapped,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
wicker,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
passer,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
untenable,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
slimy,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
safekeeping,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
widget,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
slingshot,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
untested,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
safari,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
pollinator,NN,0,5,science,N,N,N,N,C2,C2,0.0,True,False,12,NN,science
