Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
preliminary,C1,5000,0,NN,N,Y,Y,Y,A4,A4,1.0,True,False,4,C1,NN
stun,C1,5000,0,NN,N,N,N,N,B1,B1,1.0,True,False,4,NN,NN
radiation,B2,5000,4,science,N,Y,N,N,A4,A4,1.0,True,False,4,C1,medical
pregnancy,C1,5000,6,science,N,N,N,N,A3,A3,0.0,True,False,4,C1,science
treasury,NN,0,5,social_studies,N,Y,N,Y,B2,B1,1.0,True,False,4,NN,social_studies
treason,NN,0,5,social_studies,N,N,N,N,B3,B3,1.0,True,False,4,NN,legal_terms
artifact,NN,0,2,social_studies,N,N,N,N,A4,A4,0.0,True,False,4,NN,social_studies
stuck,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
accusation,C1,5000,6,social_studies,N,N,N,Y,B1,B1,1.0,True,False,4,C1,social_studies
beast,C1,5000,0,NN,N,N,N,N,B1,B1,2.0,True,False,4,NN,NN
understandably,NN,0,0,NN,N,N,N,N,B2,B2,0.0,False,False,4,C1,NN
understanding,A2,3000,0,NN,N,Y,N,N,NN,NN,2.0,True,False,4,C1,NN
coalition,C1,5000,6,social_studies,N,Y,N,Y,B1,A4,1.0,True,False,4,NN,social_studies
prejudice,C1,5000,5,social_studies,N,Y,N,Y,A4,A4,1.0,True,False,4,B2,social_studies
prejudiced,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
cautious,C1,5000,9,general,N,Y,Y,Y,B1,B1,1.0,True,False,4,B2,general
accused,C1,5000,0,NN,N,N,N,N,NN,NN,0.0,True,False,4,NN,NN
skillful,NN,0,0,NN,N,N,N,N,B3,C1,1.0,False,False,4,C1,NN
the-homeless,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
capability,C1,5000,0,NN,N,N,N,N,A3,A3,1.0,True,False,4,C1,NN
beam,C1,5000,3,science,Y,Y,N,Y,A3,A4,1.0,True,False,4,B2,science
transparency,C1,5000,3,science,N,N,N,Y,A4,A4,0.0,True,False,4,NN,science
simultaneous,NN,0,9,science,N,Y,N,N,B2,B3,1.0,False,False,4,C1,science
simultaneously,C1,5000,0,NN,N,Y,N,Y,A4,A4,1.0,False,False,4,B2,NN
